"Reference","Value","Datasheet","Footprint","Qty","DNP"
"AudioInput1","Audio Input","~","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P5.08mm_Vertical","1",""
"AudioOut1","Audio Output","~","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P5.08mm_Vertical","1",""
"C1","47pF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","1",""
"C2,C4,C7","47uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","3",""
"C3","100uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"C5,C8,C9,C10,C14","0.1uF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","5",""
"C6",".22uF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","1",""
"C11,C18,C19,C21","1uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","4",""
"C12,C16","2200pF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","2",""
"C13","4700pF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","1",""
"C15","0.015uF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","1",""
"C17","0.01uF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","1",""
"C20","100pF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","1",""
"C22","0.047uF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","1",""
"C23",".022uF","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","1",""
"D1","1N4001","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1",""
"DelayTime1,Feedback1","50k","~","Potentiometer_THT:Potentiometer_Omeg_PC16BU_Vertical","2",""
"DTIN1","Time Delay","~","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P5.08mm_Vertical","1",""
"FBSW1","SW_DIP_x01","~","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P5.08mm_Vertical","1",""
"H1,H2","MountingHole_Pad","~","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad_TopBottom","2",""
"J1","Power","~","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P5.08mm_Vertical","1",""
"Mix1,R1,R2,R6,R7,R9,R10,R13","10k","~","-- mixed values --","8",""
"R3,R4,R17","100k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","3",""
"R5","2.7K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R8,R11","20k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R12","360k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R14,R16","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R15","180k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R18","2k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R19","5.1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R20,R21,R22,R23","15k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"U2","PT2399","http://sound.westhost.com/pt2399.pdf","Package_DIP:DIP-16_W7.62mm","1",""
"U3","L78L05_TO92","http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf","Package_TO_SOT_THT:TO-92L_Inline_Wide","1",""
"U4","TL072","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_DIP:DIP-8_W7.62mm","1",""
